Anos;Total de Obitos;Masculino;Feminino;Obitos menos de 1 ano;Taxa bruta de mortalidade;Taxa de mortalidade infantil;Esperanca de vida a nascenca
1900;110330;56304;54026;;20.4;;
1910;113161;58132;55653;25024;19.2;133.9;
1920;142862;72220;70662;33302;23.7;164.1;
1930;116352;59508;56844;29077;17.1;143.6;
1940;120486;60930;59556;23690;15.7;126.1;
1950;102798;52366;50432;19308;12.2;94.1;
1960;94883;48110;46773;16576;10.7;77.5;
1970;92854;47179;45675;10026;10.7;55.5;
1980;94794;49475;45319;3839;9.7;24.3;
1981;95728;50043;45685;3309;9.7;21.8;
1982;92379;48339;44040;2985;9.3;19.8;71.78
1983;96179;50045;46134;2776;9.7;19.2;72.11
1984;96975;50762;46213;2379;9.7;16.7;72.3
1985;97085;50820;46265;2317;9.7;17.8;72.66
1986;95521;49796;45725;2008;9.5;15.8;72.86
1987;95102;49582;45520;1744;9.5;14.2;73.23
1988;97844;51246;46598;1584;9.8;13.0;73.61
1989;95743;50046;45697;1435;9.6;12.1;73.8
1990;102768;53193;49575;1266;10.3;10.9;73.93
1991;103882;54185;49697;1254;10.4;10.8;73.97
1992;100638;52938;47700;1052;10.1;9.2;73.97
1993;105950;55560;50390;985;10.6;8.6;74.29
1994;99232;52103;47129;865;9.9;7.9;74.64
1995;103475;54078;49397;796;10.3;7.4;75.04
1996;106881;56169;50712;747;10.6;6.8;75.21
1997;104778;54841;49937;726;10.4;6.4;75.07
1998;106198;55647;50551;679;10.5;6.0;75.41
1999;107871;56179;51692;651;10.6;5.6;75.65
2000;105364;55023;50341;662;10.2;5.5;75.95
2001;105092;54838;50254;567;10.1;5.0;76.57
2002;106258;55377;50881;574;10.2;5.0;76.73
2003;108795;55966;52829;466;10.4;4.1;76.98
2004;102012;53202;48810;420;9.7;3.8;77.43
2005;107464;55493;51971;384;10.2;3.5;77.72
2006;101990;53471;48519;349;9.7;3.3;78.18
2007;103512;53379;50133;353;9.8;3.4;78.5
2008;104280;53582;50698;340;9.9;3.3;78.74
2009;104434;53310;51124;362;9.9;3.6;78.94
2010;105954;54219;51734;256;10.0;2.5;79.29
2011;102848;52544;50301;302;9.7;3.1;79.55
2012;107612;54473;53139;303;10.2;3.4;79.78
2013;106554;54184;52369;243;10.2;2.9;80.03
2014;104843;53233;51610;236;10.1;2.9;80.32
2015;108539;54175;54364;250;10.5;2.9;80.47
2016;110573;55626;54947;282;10.7;3.2;80.69
2017;109758;55088;54670;229;10.6;2.7;80.85
2018;113051;56728;56322;287;10.9;3.3;80.89
2019;111843;55869;55974;249;10.8;2.9;81.05
2020;123396;61395;62001;206;11.9;2.4;81.22
2021;124841;62728;62113;193;12.0;2.4;80.97
2022;124361;61739;62621;219;11.9;2.6;80.96
2023;118295;59261;59034;210;11.2;2.5;81.17
